id;date;details;status;payment_method;payment_date;payment_amount
1;2025-07-31T20:55:17;perfection dispense steak;CANCELLED;CASH_ON_DELIVERY;2025-07-31T10:46:42;341.69
2;2025-08-01T05:42:34;favorite upright overheard;CANCELLED;CREDIT_CARD;2025-07-31T21:39:53;14072.11
3;2025-07-31T21:57:52;parallel;CANCELLED;CREDIT_CARD;2025-07-31T15:40:16;16263.89
4;2025-08-01T00:59:07;ugh;ISSUED;CASH_ON_DELIVERY;2025-07-31T17:00:28;30910.55
5;2025-08-01T01:57:58;overcharge haircut;PAID;CASH_ON_DELIVERY;2025-07-31T16:19:04;17370.65
6;2025-07-31T22:27:01;wry;PAID;CREDIT_CARD;2025-07-31T23:59:40;30308.48
7;2025-07-31T11:14:09;however summarise;CANCELLED;PAYPAL;2025-07-31T13:35:43;30413.17
8;2025-07-31T20:33:22;ick;CANCELLED;CREDIT_CARD;2025-07-31T14:26:53;21834.96
9;2025-07-31T10:45:21;generously however;CANCELLED;PAYPAL;2025-08-01T06:47:46;16280.04
10;2025-08-01T01:13:29;manipulate tenderly gah;PAID;CREDIT_CARD;2025-07-31T16:21:56;11407.37
